"","Country_Code","Rank","Country_Name","GDP_Value"
"1","CHN",2,"China",8227103
"2","JPN",3,"Japan",5959718
"3","DEU",4,"Germany",3428131
"4","FRA",5,"France",2612878
"5","GBR",6,"United Kingdom",2471784
"6","BRA",7,"Brazil",2252664
"7","RUS",8,"Russian Federation",2014775
"8","ITA",9,"Italy",2014670
"9","IND",10,"India",1841710
"10","CAN",11,"Canada",1821424
"11","AUS",12,"Australia",1532408
"12","ESP",13,"Spain",1322965
"13","MEX",14,"Mexico",1178126
"14","KOR",15,"Korea, Rep.",1129598
"15","IDN",16,"Indonesia",878043
"16","TUR",17,"Turkey",789257
"17","NLD",18,"Netherlands",770555
"18","SAU",19,"Saudi Arabia",711050
"19","CHE",20,"Switzerland",631173
"20","SWE",21,"Sweden",523806
"21","IRN",22,"Iran, Islamic Rep.",514060
"22","NOR",23,"Norway",499667
"23","POL",24,"Poland",489795
"24","BEL",25,"Belgium",483262
"25","ARG",26,"Argentina",475502
"26","AUT",27,"Austria",394708
"27","ZAF",28,"South Africa",384313
"28","VEN",29,"Venezuela, RB",381286
"29","COL",30,"Colombia",369606
"30","THA",31,"Thailand",365966
"31","ARE",32,"United Arab Emirates",348595
"32","DNK",33,"Denmark",314887
"33","MYS",34,"Malaysia",305033
"34","SGP",35,"Singapore",274701
"35","CHL",36,"Chile",269869
"36","HKG",37,"Hong Kong SAR, China",263259
"37","EGY",38,"Egypt, Arab Rep.",262832
"38","NGA",39,"Nigeria",262597
"39","ISR",40,"Israel",258217
"40","PHL",41,"Philippines",250182
"41","GRC",42,"Greece",249099
"42","FIN",43,"Finland",247546
"43","PAK",44,"Pakistan",225143
"44","PRT",45,"Portugal",212274
"45","IRL",46,"Ireland",210771
"46","IRQ",47,"Iraq",210280
"47","DZA",48,"Algeria",205789
"48","PER",49,"Peru",203790
"49","KAZ",50,"Kazakhstan",203521
"50","CZE",51,"Czech Republic",196446
"51","ROM",52,"Romania",192711
"52","UKR",53,"Ukraine",176309
"53","QAT",54,"Qatar",171476
"54","NZL",55,"New Zealand",167347
"55","KWT",56,"Kuwait",160913
"56","VNM",57,"Vietnam",155820
"57","HUN",58,"Hungary",124600
"58","BGD",59,"Bangladesh",116355
"59","AGO",60,"Angola",114147
"60","PRI",61,"Puerto Rico",101496
"61","MAR",62,"Morocco",95982
"62","SVK",63,"Slovak Republic",91149
"63","ECU",64,"Ecuador",84040
"64","SYR",65,"Syrian Arab Republic",73672
"65","OMN",66,"Oman",69972
"66","CUB",67,"Cuba",68234
"67","AZE",68,"Azerbaijan",66605
"68","BLR",69,"Belarus",63267
"69","LKA",70,"Sri Lanka",59423
"70","HRV",71,"Croatia",59228
"71","DOM",72,"Dominican Republic",59047
"72","SDN",73,"Sudan",58769
"73","LUX",74,"Luxembourg",55178
"74","UZB",75,"Uzbekistan",51113
"75","BGR",76,"Bulgaria",50972
"76","GTM",77,"Guatemala",50234
"77","URY",78,"Uruguay",49920
"78","TUN",79,"Tunisia",45662
"79","SVN",80,"Slovenia",45279
"80","CRI",81,"Costa Rica",45104
"81","MAC",82,"Macao SAR, China",43582
"82","LBN",83,"Lebanon",42945
"83","LTU",84,"Lithuania",42344
"84","ETH",85,"Ethiopia",41605
"85","GHA",86,"Ghana",40711
"86","KEN",87,"Kenya",40697
"87","SRB",88,"Serbia",37489
"88","PAN",89,"Panama",36253
"89","YEM",90,"Yemen, Rep.",35646
"90","TKM",91,"Turkmenistan",35164
"91","JOR",92,"Jordan",31015
"92","BHR",93,"Bahrain",29044
"93","LVA",94,"Latvia",28373
"94","TZA",95,"Tanzania",28242
"95","BOL",96,"Bolivia",27035
"96","PRY",97,"Paraguay",25502
"97","CMR",98,"Cameroon",25322
"98","CIV",99,"Côte d'Ivoire",24680
"99","SLV",100,"El Salvador",23864
"100","TTO",101,"Trinidad and Tobago",23320
"101","CYP",102,"Cyprus",22767
"102","EST",103,"Estonia",22390
"103","ZMB",104,"Zambia",20678
"104","AFG",105,"Afghanistan",20497
"105","UGA",106,"Uganda",19881
"106","NPL",107,"Nepal",18963
"107","HND",108,"Honduras",18434
"108","GAB",109,"Gabon",18377
"109","GNQ",110,"Equatorial Guinea",17697
"110","BIH",111,"Bosnia and Herzegovina",17466
"111","ZAR",112,"Congo, Dem. Rep.",17204
"112","BRN",113,"Brunei Darussalam",16954
"113","GEO",114,"Georgia",15747
"114","PNG",115,"Papua New Guinea",15654
"115","JAM",116,"Jamaica",14755
"116","BWA",117,"Botswana",14504
"117","MOZ",118,"Mozambique",14244
"118","SEN",119,"Senegal",14046
"119","KHM",120,"Cambodia",14038
"120","COG",121,"Congo, Rep.",13678
"121","ISL",122,"Iceland",13579
"122","NAM",123,"Namibia",13072
"123","TCD",124,"Chad",12887
"124","ALB",125,"Albania",12648
